image,epsilon,k,energy,psnr,rel_change,time_ms
cameraman,0.001000000047,0,927.7778453,20.41011896,0,0
cameraman,0.001000000047,1,473.345862,25.54601073,0.1044137478,117.341
cameraman,0.001000000047,2,397.3223471,26.56885598,0.03219669743,227.7949
cameraman,0.001000000047,3,374.5437366,26.77084723,0.01474935552,321.8587
cameraman,0.001000000047,4,365.6213013,26.81017289,0.008143212454,408.4533
cameraman,0.001000000047,5,361.5312496,26.81102792,0.004991841167,500.4668
cameraman,0.001000000047,6,359.4508304,26.80271028,0.003275988998,614.3398
cameraman,0.001000000047,7,358.3109747,26.79313947,0.002257209191,726.0349
cameraman,0.001000000047,8,357.6495647,26.7844608,0.001613556291,845.8515
cameraman,0.001000000047,9,357.2476492,26.77711581,0.00118749671,936.4095
cameraman,0.001000000047,10,356.9938141,26.77104278,0.0008952372802,1016.2997
cameraman,0.001000000047,11,356.8280886,26.76606053,0.0006888654197,1100.5247
cameraman,0.001000000047,12,356.7166467,26.76197682,0.0005395302908,1189.1166
cameraman,0.001000000047,13,356.6397277,26.75861707,0.000429099519,1278.408
cameraman,0.001000000047,14,356.5854001,26.75584435,0.000345922213,1372.6637
cameraman,0.001000000047,15,356.5462389,26.75354468,0.0002821697626,1461.0197
cameraman,0.001000000047,16,356.5174977,26.751626,0.0002326044759,1544.8979
cameraman,0.001000000047,17,356.4960581,26.75001814,0.000193526517,1632.7097
cameraman,0.001000000047,18,356.4798338,26.74866551,0.0001623489009,1721.3639
cameraman,0.001000000047,19,356.4673949,26.74752206,0.0001372170826,1803.609
cameraman,0.001000000047,20,356.4577466,26.74655011,0.0001167559835,1894.6079
cameraman,0.001000000047,21,356.4501846,26.74572312,9.993554746e-05,1989.825
cameraman,0.001000000047,22,356.4441987,26.7450124,8.601339106e-05,2128.5852
cameraman,0.001000000047,23,356.4394208,26.74440588,7.441283519e-05,2256.6401
cameraman,0.001000000047,24,356.435575,26.74387874,6.46634606e-05,2363.7167
cameraman,0.001000000047,25,356.4324594,26.74342199,5.643575813e-05,2468.4461
cameraman,0.002000000095,0,927.7778453,20.41011896,0,0
cameraman,0.002000000095,1,473.3574259,25.5458764,0.1044114967,93.6196
cameraman,0.002000000095,2,397.3673687,26.5681826,0.03217941853,186.4233
cameraman,0.002000000095,3,374.6556904,26.76940623,0.0146952266,281.9903
cameraman,0.002000000095,4,365.8178537,26.80826523,0.008057134452,381.8882
cameraman,0.002000000095,5,361.8123134,26.80920354,0.00489204145,468.9223
cameraman,0.002000000095,6,359.8054115,26.80136174,0.003173073153,590.5979
cameraman,0.002000000095,7,358.7247942,26.79248468,0.00215683217,679.8346
cameraman,0.002000000095,8,358.1097008,26.7845901,0.001519091241,768.1703
cameraman,0.002000000095,9,357.7432741,26.77803846,0.001100677443,873.1125
cameraman,0.002000000095,10,357.5163601,26.77272705,0.0008164282047,964.1513
cameraman,0.002000000095,11,357.3709799,26.76845134,0.0006176374997,1050.2835
cameraman,0.002000000095,12,357.2750113,26.76500864,0.0004752142317,1143.0478
cameraman,0.002000000095,13,357.2099946,26.76222963,0.000370994455,1227.4392
cameraman,0.002000000095,14,357.1649277,26.75997921,0.0002933840437,1334.7212
cameraman,0.002000000095,15,357.1330583,26.75814709,0.000234659854,1426.7618
cameraman,0.002000000095,16,357.1101172,26.75665124,0.0001896130837,1538.6557
cameraman,0.002000000095,17,357.0933402,26.75542232,0.0001546163369,1640.8643
cameraman,0.002000000095,18,357.0808965,26.75440998,0.000127142522,1752.6993
cameraman,0.002000000095,19,357.0715458,26.75357117,0.0001053276761,1896.4726
cameraman,0.002000000095,20,357.064439,26.75287611,8.786450408e-05,2022.2794
cameraman,0.002000000095,21,357.0589802,26.752294,7.376599892e-05,2124.799
cameraman,0.002000000095,22,357.0547484,26.75180582,6.229468374e-05,2231.813
cameraman,0.002000000095,23,357.0514377,26.75139921,5.289598494e-05,2355.1201
cameraman,0.002000000095,24,357.0488322,26.75105398,4.513469803e-05,2453.3808
cameraman,0.002000000095,25,357.0467617,26.75076238,3.870354087e-05,2549.9837
cameraman,0.004999999888,0,927.7778453,20.41011896,0,0
cameraman,0.004999999888,1,473.4208357,25.54511563,0.1043968713,94.1281
cameraman,0.004999999888,2,397.6361572,26.56469698,0.03207702558,182.8722
cameraman,0.004999999888,3,375.2536504,26.76331906,0.01445333554,282.6011
cameraman,0.004999999888,4,366.7593179,26.80142149,0.007736825995,401.4873
cameraman,0.004999999888,5,363.0457512,26.8031039,0.004551413512,525.7189
cameraman,0.004999999888,6,361.2620546,26.79678575,0.002844058585,616.2287
cameraman,0.004999999888,7,360.3431986,26.78970086,0.001856459039,701.2074
cameraman,0.004999999888,8,359.8423151,26.78357989,0.0012538629,801.1869
cameraman,0.004999999888,9,359.5558965,26.77866619,0.000870789061,891.7369
cameraman,0.004999999888,10,359.3852828,26.77481848,0.0006189854974,983.6203
cameraman,0.004999999888,11,359.2800224,26.77182985,0.0004488267903,1088.2126
cameraman,0.004999999888,12,359.2131189,26.76951311,0.0003311089606,1196.6421
cameraman,0.004999999888,13,359.1694833,26.76771304,0.0002480031794,1302.0288
cameraman,0.004999999888,14,359.1403788,26.76631077,0.0001883094399,1403.1949
cameraman,0.004999999888,15,359.1205866,26.76521493,0.0001447362701,1495.616
cameraman,0.004999999888,16,359.1068991,26.76435522,0.0001124926296,1594.3015
cameraman,0.004999999888,17,359.0972887,26.76367851,8.831832749e-05,1701.7179
cameraman,0.004999999888,18,359.0904525,26.76314394,6.999002107e-05,1833.8487
cameraman,0.004999999888,19,359.0855298,26.76272093,5.593610616e-05,1944.1479
cameraman,0.004999999888,20,359.0819473,26.76238433,4.505605824e-05,2037.6625
cameraman,0.004999999888,21,359.0793169,26.76211547,3.6558882e-05,2137.3968
cameraman,0.004999999888,22,359.0773645,26.76189983,2.985682816e-05,2225.5207
cameraman,0.004999999888,23,359.0759047,26.76172695,2.453368929e-05,2320.3939
cameraman,0.004999999888,24,359.0748093,26.76158794,2.027649203e-05,2429.0518
cameraman,0.004999999888,25,359.0739763,26.761476,1.684519075e-05,2519.5986
cameraman,0.009999999776,0,927.7778453,20.41011896,0,0
cameraman,0.009999999776,1,473.6175746,25.54273335,0.1043474051,100.418
cameraman,0.009999999776,2,398.4372859,26.55547024,0.03178686024,195.0403
cameraman,0.009999999776,3,376.8209313,26.74995629,0.01392933037,297.5248
cameraman,0.009999999776,4,368.9841772,26.78764946,0.007142267214,410.6473
cameraman,0.009999999776,5,365.743846,26.79091154,0.003987679868,501.5476
cameraman,0.009999999776,6,364.2753962,26.78681713,0.002356085183,608.045
cameraman,0.009999999776,7,363.5600798,26.78191697,0.001453774064,700.8807
cameraman,0.009999999776,8,363.1901712,26.77772098,0.0009293748731,799.1173
cameraman,0.009999999776,9,362.9891136,26.77443307,0.0006121470137,917.7169
cameraman,0.009999999776,10,362.8752167,26.77193871,0.0004136443512,1040.2457
cameraman,0.009999999776,11,362.8084118,26.77006864,0.0002857648364,1170.6693
cameraman,0.009999999776,12,362.7680591,26.76867205,0.000201272767,1290.8779
cameraman,0.009999999776,13,362.7430686,26.76762956,0.0001442051161,1408.5265
cameraman,0.009999999776,14,362.727257,26.76685077,0.0001048858669,1511.4541
cameraman,0.009999999776,15,362.7170614,26.76626782,7.732319278e-05,1629.3623
cameraman,0.009999999776,16,362.7103801,26.7658306,5.76922314e-05,1757.2421
cameraman,0.009999999776,17,362.7059379,26.76550139,4.350765797e-05,1895.1931
cameraman,0.009999999776,18,362.7029469,26.76525316,3.313094421e-05,2005.6967
cameraman,0.009999999776,19,362.7009077,26.76506535,2.544661022e-05,2121.4137
cameraman,0.009999999776,20,362.6995004,26.76492256,1.969947431e-05,2235.0372
cameraman,0.009999999776,21,362.6985211,26.76481416,1.535912945e-05,2337.8709
cameraman,0.009999999776,22,362.6978331,26.76473168,1.20540701e-05,2431.3665
cameraman,0.009999999776,23,362.6973447,26.76466789,9.514019464e-06,2523.5196
cameraman,0.009999999776,24,362.696995,26.76461956,7.551172903e-06,2624.7646
cameraman,0.009999999776,25,362.6967431,26.76458194,6.024173474e-06,2728.0389
cameraman,0.01999999955,0,927.7778453,20.41011896,0,0
cameraman,0.01999999955,1,474.3236951,25.53413864,0.1041625219,113.9637
cameraman,0.01999999955,2,400.9719288,26.52854754,0.03094557776,220.0083
cameraman,0.01999999955,3,381.1528548,26.71525586,0.01274751967,320.1912
cameraman,0.01999999955,4,374.5673719,26.75253787,0.006012242532,419.8524
cameraman,0.01999999955,5,372.085503,26.75805874,0.003067317392,522.9566
cameraman,0.01999999955,6,371.0564141,26.7566131,0.001659851133,622.4699
cameraman,0.01999999955,7,370.5954672,26.7540504,0.0009431106682,711.6815
cameraman,0.01999999955,8,370.3757172,26.75176071,0.0005584519226,823.5354
cameraman,0.01999999955,9,370.2655237,26.74998882,0.0003424696641,912.7455
cameraman,0.01999999955,10,370.2079379,26.74868861,0.0002163564405,1013.4872
cameraman,0.01999999955,11,370.1767997,26.74775657,0.0001401825718,1117.6769
cameraman,0.01999999955,12,370.1594673,26.74709593,9.28044586e-05,1236.0583
cameraman,0.01999999955,13,370.1495789,26.7466308,6.258132587e-05,1349.4394
cameraman,0.01999999955,14,370.1438094,26.74630358,4.287096306e-05,1451.6253
cameraman,0.01999999955,15,370.1403803,26.7460737,2.977314011e-05,1538.8451
cameraman,0.01999999955,16,370.1383039,26.74591254,2.092262205e-05,1631.4523
cameraman,0.01999999955,17,370.1370257,26.74579868,1.485607862e-05,1724.4193
cameraman,0.01999999955,18,370.1362298,26.74571846,1.064579644e-05,1818.1461
cameraman,0.01999999955,19,370.135725,26.74566176,7.690972872e-06,1907.0004
cameraman,0.01999999955,20,370.1354027,26.74562129,5.597937008e-06,2008.191
cameraman,0.01999999955,21,370.1351934,26.74559251,4.100597811e-06,2111.6204
cameraman,0.01999999955,22,370.1350551,26.7455726,3.023868473e-06,2220.0281
cameraman,0.01999999955,23,370.1349647,26.74555793,2.24216791e-06,2343.0802
cameraman,0.01999999955,24,370.134905,26.74554706,1.673569762e-06,2454.1958
cameraman,0.01999999955,25,370.1348632,26.7455393,1.256298918e-06,2549.626
cameraman,0.05000000075,0,927.7778453,20.41011896,0,0
cameraman,0.05000000075,1,478.4469519,25.48330253,0.1030600221,96.72
cameraman,0.05000000075,2,412.5295401,26.40616139,0.0276708248,184.889
cameraman,0.05000000075,3,397.7817572,26.56716984,0.009494105144,287.5151
cameraman,0.05000000075,4,393.8144348,26.5981555,0.003652798129,381.2996
cameraman,0.05000000075,5,392.5912081,26.60337368,0.001539493743,470.7957
cameraman,0.05000000075,6,392.1716061,26.60325666,0.0007017056794,568.9807
cameraman,0.05000000075,7,392.0153579,26.60230583,0.0003415750902,671.297
cameraman,0.05000000075,8,391.9533004,26.60148459,0.000175483146,788.7975
cameraman,0.05000000075,9,391.9273127,26.60092123,9.41583866e-05,891.324
cameraman,0.05000000075,10,391.9159352,26.60056517,5.230410507e-05,979.9165
cameraman,0.05000000075,11,391.9107579,26.60034844,2.986954861e-05,1068.947
cameraman,0.05000000075,12,391.9083179,26.60021901,1.744060744e-05,1156.5849
cameraman,0.05000000075,13,391.907134,26.60014234,1.03702251e-05,1252.6476
cameraman,0.05000000075,14,391.9065421,26.60009716,6.260242243e-06,1345.6358
cameraman,0.05000000075,15,391.9062388,26.60007056,3.827305998e-06,1434.4893
cameraman,0.05000000075,16,391.9060795,26.60005485,2.366159778e-06,1530.9764
cameraman,0.05000000075,17,391.9059936,26.60004544,1.477455171e-06,1640.3983
