image,method,iterations,lambda,psnr,fidelity,tv,time_ms
cameraman,GD,200,0.009999999776,21.87670118,9.220916762,7386.25166,1239.4454
cameraman,GD,200,0.0138949547,22.45579295,17.04388714,6729.439692,1364.2628
cameraman,GD,200,0.01930697821,23.25405452,30.82313474,5894.51099,1549.6954
cameraman,GD,200,0.02682695724,24.33272881,54.3485637,4866.110351,1209.7524
cameraman,GD,200,0.03727593645,25.64472714,90.16679885,3733.786605,976.3687
cameraman,GD,200,0.05179474503,26.87183681,136.8901992,2654.973702,667.578
cameraman,GD,200,0.07196857035,27.38743282,185.0390463,1830.701523,720.13
cameraman,GD,200,0.1000000015,26.94623976,222.6233079,1346.633776,788.9542
cameraman,GD,200,0.1389495432,26.51623,240.7075152,1163.139687,848.2555
cameraman,GD,200,0.1930697709,25.79404233,258.670486,1020.384127,861.1446
cameraman,GD,200,0.2682695687,25.40863406,269.2660338,943.7200481,836.5447
cameraman,GD,200,0.372759372,24.86428934,281.9589694,874.056421,998.7703
cameraman,GD,200,0.517947495,24.07856959,300.4069728,795.5293456,1201.2042
cameraman,GD,200,0.7196856737,24.16604071,300.2068167,784.7697547,853.1505
cameraman,GD,200,1,23.70159061,311.7128123,751.7430421,910.3555
cameraman,Newton,20,0.009999999776,21.87039267,9.045124643,7406.205352,2617.2965
cameraman,Newton,20,0.0138949547,22.44622619,16.69330182,6758.310876,2295.6064
cameraman,Newton,20,0.01930697821,23.24025156,30.13843564,5935.786798,2039.8694
cameraman,Newton,20,0.02682695724,24.30203221,52.54556616,4943.45864,2006.4136
cameraman,Newton,20,0.03727593645,25.60246741,86.65640433,3845.246809,2067.0308
cameraman,Newton,20,0.05179474503,26.83372152,131.3958966,2789.744417,1925.779
cameraman,Newton,20,0.07196857035,27.30961143,178.1605459,1969.72465,2373.6127
cameraman,Newton,20,0.1000000015,26.76492256,216.7367002,1459.62798,2137.7534
cameraman,Newton,20,0.1389495432,25.69395696,248.6465533,1145.927427,2252.0816
cameraman,Newton,20,0.1930697709,24.4924975,279.9188704,923.5427999,2410.8782
cameraman,Newton,20,0.2682695687,23.32389413,312.9927818,755.4002791,2619.7384
cameraman,Newton,20,0.372759372,22.20739353,350.0790809,621.7921472,2359.6967
cameraman,Newton,20,0.517947495,21.12461251,393.8422563,511.0698903,1804.0926
cameraman,Newton,20,0.7196856737,20.06199632,447.2089225,415.9670028,2103.9637
cameraman,Newton,20,1,19.16707031,502.452995,343.8615929,2416.6288
barbara,GD,200,0.009999999776,21.49309988,9.163705233,7874.043229,1155.9602
barbara,GD,200,0.0138949547,22.0381671,17.01062288,7215.834945,1065.6938
barbara,GD,200,0.01930697821,22.77830508,30.89887137,6375.635766,1276.9572
barbara,GD,200,0.02682695724,23.74444434,54.69817934,5336.047356,1172.5887
barbara,GD,200,0.03727593645,24.86211655,92.6753546,4138.624751,849.893
barbara,GD,200,0.05179474503,25.75080173,146.4717084,2914.69763,662.6016
barbara,GD,200,0.07196857035,25.80425039,201.2497245,1998.395486,663.8663
barbara,GD,200,0.1000000015,25.16580752,250.9196425,1375.626131,722.061
barbara,GD,200,0.1389495432,24.57337426,282.9971224,1064.480091,652.8941
barbara,GD,200,0.1930697709,23.95820084,311.634192,848.6247675,703.0937
barbara,GD,200,0.2682695687,23.68512356,325.4165602,770.2297084,720.0544
barbara,GD,200,0.372759372,23.44625706,336.7434746,713.3980623,659.2882
