n,N,method,linear_solver,iterations,ms_per_iteration
8,64,GD,none,20,0.005563157895
8,64,Newton,dense LU,4,0.0578
12,144,GD,none,20,0.007457894737
12,144,Newton,dense LU,4,0.1843666667
16,256,GD,none,20,0.01171052632
16,256,Newton,dense LU,4,0.5846
24,576,GD,none,20,0.02495263158
24,576,Newton,dense LU,4,6.440466667
32,1024,GD,none,20,0.05753684211
32,1024,Newton,dense LU,4,30.78336667
40,1600,GD,none,20,0.1158210526
40,1600,Newton,dense LU,4,104.1027667
48,2304,GD,none,20,0.09431578947
48,2304,Newton,dense LU,2,307.7441
56,3136,GD,none,20,0.2192105263
56,3136,Newton,dense LU,2,737.5166
64,4096,GD,none,20,0.2922473684
64,4096,Newton,dense LU,2,1606.0611
72,5184,GD,none,20,0.2426105263
72,5184,Newton,sparse LDLT,4,11.0807
96,9216,GD,none,20,0.6618578947
96,9216,Newton,sparse LDLT,4,20.41093333
128,16384,GD,none,20,1.167936842
128,16384,Newton,sparse LDLT,4,52.54866667
160,25600,GD,none,20,2.060626316
160,25600,Newton,sparse LDLT,4,43.91186667
225,50625,GD,none,20,2.5208
225,50625,Newton,sparse LDLT,4,99.8711
320,102400,GD,none,20,5.386921053
320,102400,Newton,sparse LDLT,4,236.5882667
450,202500,GD,none,20,10.41447368
450,202500,Newton,sparse LDLT,4,494.6653667
