image,sigma,noisy_psnr,method,iterations,lambda,psnr,time_ms
cameraman,0.05000000075,26.26439229,GD,200,0.009999999776,28.84997886,1290.189
cameraman,0.05000000075,26.26439229,GD,200,0.01584893279,30.1067651,1119.5321
cameraman,0.05000000075,26.26439229,GD,200,0.02511886507,31.22109966,879.9305
cameraman,0.05000000075,26.26439229,GD,200,0.03981071711,30.97443334,642.6026
cameraman,0.05000000075,26.26439229,GD,200,0.06309573352,29.77394036,698.0231
cameraman,0.05000000075,26.26439229,GD,200,0.1000000015,28.38328053,719.8366
cameraman,0.05000000075,26.26439229,GD,200,0.1584893167,27.52643846,769.7831
cameraman,0.05000000075,26.26439229,GD,200,0.2511886358,26.26011848,683.4146
cameraman,0.05000000075,26.26439229,GD,200,0.3981071711,25.91127931,798.518
cameraman,0.05000000075,26.26439229,GD,200,0.630957365,25.19745169,816.1724
cameraman,0.05000000075,26.26439229,GD,200,1,25.00111447,838.3706
cameraman,0.05000000075,26.26439229,Newton,15,0.009999999776,28.80404764,1779.3719
cameraman,0.05000000075,26.26439229,Newton,15,0.01584893279,30.0177719,1715.8568
cameraman,0.05000000075,26.26439229,Newton,15,0.02511886507,31.09363294,1631.5789
cameraman,0.05000000075,26.26439229,Newton,15,0.03981071711,30.94247258,1704.8574
cameraman,0.05000000075,26.26439229,Newton,15,0.06309573352,29.50862105,1688.0082
cameraman,0.05000000075,26.26439229,Newton,15,0.1000000015,27.61838422,1734.3939
cameraman,0.05000000075,26.26439229,Newton,15,0.1584893167,25.65881816,1736.3267
cameraman,0.05000000075,26.26439229,Newton,15,0.2511886358,23.87019725,1709.4809
cameraman,0.05000000075,26.26439229,Newton,15,0.3981071711,22.23316058,1789.5075
cameraman,0.05000000075,26.26439229,Newton,15,0.630957365,20.6715147,1770.3496
cameraman,0.05000000075,26.26439229,Newton,15,1,19.31991726,1662.7856
cameraman,0.1000000015,20.41011896,GD,200,0.009999999776,21.87670118,1202.1697
cameraman,0.1000000015,20.41011896,GD,200,0.01584893279,22.74643612,1299.1888
cameraman,0.1000000015,20.41011896,GD,200,0.02511886507,24.08147673,1311.8105
cameraman,0.1000000015,20.41011896,GD,200,0.03981071711,25.91112243,908.5235
cameraman,0.1000000015,20.41011896,GD,200,0.06309573352,27.30627469,652.4879
cameraman,0.1000000015,20.41011896,GD,200,0.1000000015,26.94623976,750.1669
cameraman,0.1000000015,20.41011896,GD,200,0.1584893167,26.29836051,797.7579
cameraman,0.1000000015,20.41011896,GD,200,0.2511886358,25.09990838,759.5786
cameraman,0.1000000015,20.41011896,GD,200,0.3981071711,24.75377332,829.3089
cameraman,0.1000000015,20.41011896,GD,200,0.630957365,24.25196368,838.5528
cameraman,0.1000000015,20.41011896,GD,200,1,23.70159061,881.8661
cameraman,0.1000000015,20.41011896,Newton,15,0.009999999776,21.87039253,2067.2577
cameraman,0.1000000015,20.41011896,Newton,15,0.01584893279,22.73435656,1934.4533
cameraman,0.1000000015,20.41011896,Newton,15,0.02511886507,24.06725029,1564.0215
cameraman,0.1000000015,20.41011896,Newton,15,0.03981071711,25.8707322,1580.6472
cameraman,0.1000000015,20.41011896,Newton,15,0.06309573352,27.24681017,1751.1112
cameraman,0.1000000015,20.41011896,Newton,15,0.1000000015,26.76626782,1697.8876
cameraman,0.1000000015,20.41011896,Newton,15,0.1584893167,25.21956104,1495.7008
cameraman,0.1000000015,20.41011896,Newton,15,0.2511886358,23.55691002,1725.258
cameraman,0.1000000015,20.41011896,Newton,15,0.3981071711,21.99295447,1658.7233
cameraman,0.1000000015,20.41011896,Newton,15,0.630957365,20.48163556,1647.2425
cameraman,0.1000000015,20.41011896,Newton,15,1,19.16864496,1544.1647
cameraman,0.150000006,17.07062497,GD,200,0.009999999776,18.09355556,1261.8031
cameraman,0.150000006,17.07062497,GD,200,0.01584893279,18.70754809,1188.8316
cameraman,0.150000006,17.07062497,GD,200,0.02511886507,19.69440889,1356.3718
cameraman,0.150000006,17.07062497,GD,200,0.03981071711,21.24254658,953.5919
cameraman,0.150000006,17.07062497,GD,200,0.06309573352,23.34910774,675.751
cameraman,0.150000006,17.07062497,GD,200,0.1000000015,24.95157385,762.2467
cameraman,0.150000006,17.07062497,GD,200,0.1584893167,24.71039142,761.3436
cameraman,0.150000006,17.07062497,GD,200,0.2511886358,24.28431512,823.3384
cameraman,0.150000006,17.07062497,GD,200,0.3981071711,23.79506663,797.3407
cameraman,0.150000006,17.07062497,GD,200,0.630957365,23.11057214,885.8979
cameraman,0.150000006,17.07062497,GD,200,1,23.05133207,984.3739
cameraman,0.150000006,17.07062497,Newton,15,0.009999999776,18.09162815,1559.6251
cameraman,0.150000006,17.07062497,Newton,15,0.01584893279,18.70384897,1686.9419
cameraman,0.150000006,17.07062497,Newton,15,0.02511886507,19.68758041,1743.5751
cameraman,0.150000006,17.07062497,Newton,15,0.03981071711,21.23504657,1784.1369
cameraman,0.150000006,17.07062497,Newton,15,0.06309573352,23.38142438,1674.4497
cameraman,0.150000006,17.07062497,Newton,15,0.1000000015,24.99059558,1747.994
cameraman,0.150000006,17.07062497,Newton,15,0.1584893167,24.48314663,1576.2785
cameraman,0.150000006,17.07062497,Newton,15,0.2511886358,23.07714731,2803.1636
cameraman,0.150000006,17.07062497,Newton,15,0.3981071711,21.63299032,5735.7412
cameraman,0.150000006,17.07062497,Newton,15,0.630957365,20.19946746,3234.8358
cameraman,0.150000006,17.07062497,Newton,15,1,18.94656342,3274.7639
cameraman,0.200000003,14.83115463,GD,200,0.009999999776,15.62964738,2676.7839
cameraman,0.200000003,14.83115463,GD,200,0.01584893279,16.10856374,2850.7069
cameraman,0.200000003,14.83115463,GD,200,0.02511886507,16.88293356,2446.2099
cameraman,0.200000003,14.83115463,GD,200,0.03981071711,18.12848541,2284.3183
cameraman,0.200000003,14.83115463,GD,200,0.06309573352,20.0757315,1521.1796
cameraman,0.200000003,14.83115463,GD,200,0.1000000015,22.25819386,1565.4871
cameraman,0.200000003,14.83115463,GD,200,0.1584893167,23.41062708,4125.6019
cameraman,0.200000003,14.83115463,GD,200,0.2511886358,23.25414252,2598.1401
cameraman,0.200000003,14.83115463,GD,200,0.3981071711,22.53818682,8651.1092
cameraman,0.200000003,14.83115463,GD,200,0.630957365,22.39201551,3200.4197
cameraman,0.200000003,14.83115463,GD,200,1,22.08764454,1762.1306
cameraman,0.200000003,14.83115463,Newton,15,0.009999999776,15.62876287,4121.1823
cameraman,0.200000003,14.83115463,Newton,15,0.01584893279,16.10706974,4142.6904
cameraman,0.200000003,14.83115463,Newton,15,0.02511886507,16.87986794,5078.2615
